Packet No,Date&Time,Version,IHL,TOS,Length,ID,Flags,Fragment Offset,TTL,Protocol,checksum,source Address,Destination Address,Payload
Packet No,Date&Time,Version,IHL,TOS,Length,ID,Flags,Fragment Offset,TTL,Protocol,checksum,source Address,Destination Address,Payload
Packet No,Date&Time,Version,IHL,TOS,Length,ID,Flags,Fragment Offset,TTL,Protocol,checksum,source Address,Destination Address,Payload
0,50:45.5,4,20,"Routine
			Normal delay
			Normal Throughput
			Normal Reliability
			normal cost",201,0,"Reserved bit
			Donot Fragment
			last Fragment",0,64,"UDP, User Datagram Protocol.",31099,192.168.0.1,255.255.255.255,"ì"
Packet No,Date&Time,Version,IHL,TOS,Length,ID,Flags,Fragment Offset,TTL,Protocol,checksum,source Address,Destination Address,Payload
1,50:48.4,4,20,"Routine
			Normal delay
			Normal Throughput
			Normal Reliability
			normal cost",201,0,"Reserved bit
			Donot Fragment
			last Fragment",0,64,"UDP, User Datagram Protocol.",31099,192.168.0.1,255.255.255.255,"ì"
Packet No,Date&Time,Version,IHL,TOS,Length,ID,Flags,Fragment Offset,TTL,Protocol,checksum,source Address,Destination Address,Payload
2,50:51.5,4,20,"Routine
			Normal delay
			Normal Throughput
			Normal Reliability
			normal cost",201,0,"Reserved bit
			Donot Fragment
			last Fragment",0,64,"UDP, User Datagram Protocol.",31099,192.168.0.1,255.255.255.255,"ì"
Packet No,Date&Time,Version,IHL,TOS,Length,ID,Flags,Fragment Offset,TTL,Protocol,checksum,source Address,Destination Address,Payload
3,50:54.6,4,20,"Routine
			Normal delay
			Normal Throughput
			Normal Reliability
			normal cost",201,0,"Reserved bit
			Donot Fragment
			last Fragment",0,64,"UDP, User Datagram Protocol.",31099,192.168.0.1,255.255.255.255,"ì"
Packet No,Date&Time,Version,IHL,TOS,Length,ID,Flags,Fragment Offset,TTL,Protocol,checksum,source Address,Destination Address,Payload
4,50:57.6,4,20,"Routine
			Normal delay
			Normal Throughput
			Normal Reliability
			normal cost",201,0,"Reserved bit
			Donot Fragment
			last Fragment",0,64,"UDP, User Datagram Protocol.",31099,192.168.0.1,255.255.255.255,"ì"
Packet No,Date&Time,Version,IHL,TOS,Length,ID,Flags,Fragment Offset,TTL,Protocol,checksum,source Address,Destination Address,Payload
5,51:00.7,4,20,"Routine
			Normal delay
			Normal Throughput
			Normal Reliability
			normal cost",201,0,"Reserved bit
			Donot Fragment
			last Fragment",0,64,"UDP, User Datagram Protocol.",31099,192.168.0.1,255.255.255.255,"ì"
Packet No,Date&Time,Version,IHL,TOS,Length,ID,Flags,Fragment Offset,TTL,Protocol,checksum,source Address,Destination Address,Payload
1,2019-12-09 18:59:17.557000,4,20,"Routine
			Normal delay
			Normal Throughput
			Normal Reliability
			normal cost",201,0,"Reserved bit
			Donot Fragment
			last Fragment",0,64,"UDP, User Datagram Protocol.",31099,192.168.0.1,255.255.255.255,"ì"
2,2019-12-09 18:59:20.630000,4,20,"Routine
			Normal delay
			Normal Throughput
			Normal Reliability
			normal cost",201,0,"Reserved bit
			Donot Fragment
			last Fragment",0,64,"UDP, User Datagram Protocol.",31099,192.168.0.1,255.255.255.255,"ì"
3,2019-12-09 18:59:23.705000,4,20,"Routine
			Normal delay
			Normal Throughput
			Normal Reliability
			normal cost",201,0,"Reserved bit
			Donot Fragment
			last Fragment",0,64,"UDP, User Datagram Protocol.",31099,192.168.0.1,255.255.255.255,"ì"
4,2019-12-09 18:59:26.775000,4,20,"Routine
			Normal delay
			Normal Throughput
			Normal Reliability
			normal cost",201,0,"Reserved bit
			Donot Fragment
			last Fragment",0,64,"UDP, User Datagram Protocol.",31099,192.168.0.1,255.255.255.255,"ì"
5,2019-12-09 18:59:29.846000,4,20,"Routine
			Normal delay
			Normal Throughput
			Normal Reliability
			normal cost",201,0,"Reserved bit
			Donot Fragment
			last Fragment",0,64,"UDP, User Datagram Protocol.",31099,192.168.0.1,255.255.255.255,"ì"
